ID,Firefly,NanoLuc
WT_Poly_5,15460,630000
WT_Poly_5,11090,530800
WT_Poly_5,14880,511700
WT_Poly_5,12540,513600
WT_Poly_5,19970,790800
WT_Poly_5,12410,585300
Mut_Poly_5,32910,496500
Mut_Poly_5,41370,611900
Mut_Poly_5,39820,558800
Mut_Poly_5,47660,572500
Mut_Poly_5,40300,519300
Mut_Poly_5,38250,530900
WT_Poly_25,12500,638500
WT_Poly_25,15340,812100
WT_Poly_25,16630,703900
WT_Poly_25,16420,689800
WT_Poly_25,14920,746100
WT_Poly_25,16560,912500
Mut_Poly_25,38530,602000
Mut_Poly_25,41430,649100
Mut_Poly_25,38700,628100
Mut_Poly_25,37080,622100
Mut_Poly_25,34460,601400
Mut_Poly_25,31220,484000
WT_IFNB_1-24,15450,637900
WT_IFNB_1-24,19500,680000
WT_IFNB_1-24,19390,771300
WT_IFNB_1-24,18260,651600
WT_IFNB_1-24,22900,745400
WT_IFNB_1-24,22100,786900
Mut_IFNB_1-24,59130,662400
Mut_IFNB_1-24,61150,770100
Mut_IFNB_1-24,60630,698700
Mut_IFNB_1-24,50650,662900
Mut_IFNB_1-24,46050,636300
Mut_IFNB_1-24,38730,527100
WT_IFNB_10-24,14090,659300
WT_IFNB_10-24,25070,914900
WT_IFNB_10-24,20110,682400
WT_IFNB_10-24,17030,652200
WT_IFNB_10-24,22640,850400
WT_IFNB_10-24,23250,871300
Mut_IFNB_10-24,58950,738500
Mut_IFNB_10-24,66390,934400
Mut_IFNB_10-24,66700,782400
Mut_IFNB_10-24,68650,889300
Mut_IFNB_10-24,51960,757700
Mut_IFNB_10-24,37920,495700
WT_IFNB_1-6,12100,542400
WT_IFNB_1-6,16210,711600
WT_IFNB_1-6,15980,566800
WT_IFNB_1-6,18420,718300
WT_IFNB_1-6,22510,660000
WT_IFNB_1-6,16590,682100
Mut_IFNB_1-6,58930,733700
Mut_IFNB_1-6,62840,867700
Mut_IFNB_1-6,64040,785500
Mut_IFNB_1-6,52940,659000
Mut_IFNB_1-6,53900,649400
Mut_IFNB_1-6,35730,521400
WT_IFNB_10-6,14920,708200
WT_IFNB_10-6,18890,769100
WT_IFNB_10-6,18650,692200
WT_IFNB_10-6,13520,657300
WT_IFNB_10-6,15970,731500
WT_IFNB_10-6,21450,700000
Mut_IFNB_10-6,73960,905500
Mut_IFNB_10-6,64900,858600
Mut_IFNB_10-6,59340,771600
Mut_IFNB_10-6,57470,744700
Mut_IFNB_10-6,40110,575700
Mut_IFNB_10-6,29540,435400
WT_None_NA,12120,465400
WT_None_NA,11170,439700
WT_None_NA,17650,747100
WT_None_NA,17580,777000
WT_None_NA,19460,770400
WT_None_NA,21080,828100
Mut_None_NA,44760,673200
Mut_None_NA,44350,624100
Mut_None_NA,49310,686700
Mut_None_NA,40690,580900
Mut_None_NA,54340,680500
Mut_None_NA,34470,493900
WT_None_NA,21650,850400
WT_None_NA,18190,853400
WT_None_NA,20890,920500
WT_None_NA,21460,928700
LipoCon,11,87
LipoCon,7,262
LipoCon,22,92
LipoCon,17,97
Mut_None_NA,47090,608100
Mut_None_NA,46610,645800
Mut_None_NA,32120,437200
Mut_None_NA,43600,508800
