ID,Firefly,NanoLuc
WT_Poly_5_1,15460,630000
WT_Poly_5_2,11090,530800
WT_Poly_5_3,14880,511700
WT_Poly_5_4,12540,513600
WT_Poly_5_5,19970,790800
WT_Poly_5_6,12410,585300
Mut_Poly_5_1,32910,496500
Mut_Poly_5_2,41370,611900
Mut_Poly_5_3,39820,558800
Mut_Poly_5_4,47660,572500
Mut_Poly_5_5,40300,519300
Mut_Poly_5_6,38250,530900
WT_Poly_25_1,12500,638500
WT_Poly_25_2,15340,812100
WT_Poly_25_3,16630,703900
WT_Poly_25_4,16420,689800
WT_Poly_25_5,14920,746100
WT_Poly_25_6,16560,912500
Mut_Poly_25_1,38530,602000
Mut_Poly_25_2,41430,649100
Mut_Poly_25_3,38700,628100
Mut_Poly_25_4,37080,622100
Mut_Poly_25_5,34460,601400
Mut_Poly_25_6,31220,484000
WT_IFNB_1-24_1,15450,637900
WT_IFNB_1-24_2,19500,680000
WT_IFNB_1-24_3,19390,771300
WT_IFNB_1-24_4,18260,651600
WT_IFNB_1-24_5,22900,745400
WT_IFNB_1-24_6,22100,786900
Mut_IFNB_1-24_1,59130,662400
Mut_IFNB_1-24_2,61150,770100
Mut_IFNB_1-24_3,60630,698700
Mut_IFNB_1-24_4,50650,662900
Mut_IFNB_1-24_5,46050,636300
Mut_IFNB_1-24_6,38730,527100
WT_IFNB_10-24_1,14090,659300
WT_IFNB_10-24_2,25070,914900
WT_IFNB_10-24_3,20110,682400
WT_IFNB_10-24_4,17030,652200
WT_IFNB_10-24_5,22640,850400
WT_IFNB_10-24_6,23250,871300
Mut_IFNB_10-24_1,58950,738500
Mut_IFNB_10-24_2,66390,934400
Mut_IFNB_10-24_3,66700,782400
Mut_IFNB_10-24_4,68650,889300
Mut_IFNB_10-24_5,51960,757700
Mut_IFNB_10-24_6,37920,495700
WT_IFNB_1-6_1,12100,542400
WT_IFNB_1-6_2,16210,711600
WT_IFNB_1-6_3,15980,566800
WT_IFNB_1-6_4,18420,718300
WT_IFNB_1-6_5,22510,660000
WT_IFNB_1-6_6,16590,682100
Mut_IFNB_1-6_1,58930,733700
Mut_IFNB_1-6_2,62840,867700
Mut_IFNB_1-6_3,64040,785500
Mut_IFNB_1-6_4,52940,659000
Mut_IFNB_1-6_5,53900,649400
Mut_IFNB_1-6_6,35730,521400
WT_IFNB_10-6_1,14920,708200
WT_IFNB_10-6_2,18890,769100
WT_IFNB_10-6_3,18650,692200
WT_IFNB_10-6_4,13520,657300
WT_IFNB_10-6_5,15970,731500
WT_IFNB_10-6_6,21450,700000
Mut_IFNB_10-6_1,73960,905500
Mut_IFNB_10-6_2,64900,858600
Mut_IFNB_10-6_3,59340,771600
Mut_IFNB_10-6_4,57470,744700
Mut_IFNB_10-6_5,40110,575700
Mut_IFNB_10-6_6,29540,435400
WT_None_NA_1,12120,465400
WT_None_NA_2,11170,439700
WT_None_NA_3,17650,747100
WT_None_NA_4,17580,777000
WT_None_NA_5,19460,770400
WT_None_NA_6,21080,828100
Mut_None_NA_1,44760,673200
Mut_None_NA_2,44350,624100
Mut_None_NA_3,49310,686700
Mut_None_NA_4,40690,580900
Mut_None_NA_5,54340,680500
Mut_None_NA_6,34470,493900
WT_None_NA_7,21650,850400
WT_None_NA_8,18190,853400
WT_None_NA_9,20890,920500
WT_None_NA_10,21460,928700
LipoCon,11,87
LipoCon,7,262
LipoCon,22,92
LipoCon,17,97
Mut_None_NA_7,47090,608100
Mut_None_NA_8,46610,645800
Mut_None_NA_9,32120,437200
Mut_None_NA_10,43600,508800
