ID,Firefly,NanoGlo
WT_1,24910,1351000
WT_2,16710,1064000
WT_3,17530,1318000
WT_4,17300,1217000
WT_5,20750,1469000
WT_6,23350,1278000
Mut_1,129300,1788000
Mut_2,129500,1976000
Mut_3,102900,1599000
Mut_4,127200,1842000
Mut_5,116000,1700000
Mut_6,157100,1978000
WT_7,29540,1272000
WT_8,20730,1155000
WT_9,19900,1319000
WT_10,26390,1495000
LipoCon,11,111
LipoCon,10,298
LipoCon,20,378
LipoCon,23,532
Mut_7,189900,2279000
Mut_8,182200,2151000
Mut_9,162800,2060000
Mut_10,155700,1875000
