UniqueCount	AmbigCount
0	0
0	0
0	232
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	4
0	4
0	0
0	13
0	0
0	0
0	0
10	2
0	0
0	7
0	0
0	0
0	0
0	0
0	337
0	21
0	16
0	16
0	0
0	0
0	15
0	6
0	0
0	0
0	0
0	0
0	7
0	7
0	7
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	8
0	7
0	7
0	7
0	7
0	0
0	6
0	0
0	0
0	0
0	1
0	0
0	0
0	2
0	29
0	135
13	0
0	43
0	12
0	36
0	20
0	0
0	0
0	0
0	27
0	5
0	0
0	0
0	17
0	17
0	17
0	17
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	10
0	10
0	20
0	8
0	15
25	131
0	22
0	24
0	26
0	9
0	14
0	141
0	40
0	51
0	20
0	15
1	0
0	27
1	31
0	1
6	0
0	0
0	604
0	0
0	0
0	4
0	0
1	33
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	144
0	346
0	338
0	3
0	157
0	38
0	16
0	10
0	6
0	9
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	6
0	6
0	4
0	106
0	90
1	106
0	1
0	0
6	410
0	410
1	0
0	6
0	54
0	17
0	9
0	13
0	34
0	28
0	0
0	1
0	9
0	1
0	0
0	1
0	1
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
1	4
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	476
0	453
0	473
0	231
0	205
0	325
0	117
8	0
0	0
0	0
0	0
0	0
0	0
1	0
0	67
0	67
0	67
0	64
0	67
0	67
0	67
0	22
0	51
0	48
0	37
0	25
0	29
0	28
0	11
0	6
0	7
0	5
0	5
1	3
0	0
0	0
0	6
0	4
0	5
0	5
0	2
0	6
0	2
0	1
0	75
1	73
0	50
0	64
0	3
0	7
0	25
0	3
0	24
0	14
0	10
0	11
0	8
0	0
0	30
0	23
0	7
0	25
1	18
0	81
0	195
0	195
0	105
0	113
0	195
0	15
0	193
0	108
0	124
0	74
0	105
0	195
0	133
0	113
0	157
0	194
0	36
0	30
0	25
0	171
0	19
0	91
0	61
0	50
0	58
0	114
