UniqueCount	AmbigCount
0	45
0	0
25	450
0	0
0	28
0	11
0	0
0	9
0	5
0	0
0	0
0	0
69	119
0	0
0	12
0	1
0	0
0	46
2	4
10	126
4	2
0	13
574	51
1	35
26	305
4	2
0	0
0	0
0	0
6	399
5	112
4	96
9	71
7	42
0	12
0	64
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
2	7
0	2
9	10
0	0
34	1
2	206
0	86
0	64
0	88
38	27
0	24
0	92
8	65
0	0
0	5
0	1
0	0
10	193
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	6
0	1
12	8
0	2
0	0
0	0
7	1393
401	61424
8	27471
0	0
0	126
0	0
1356	10690
0	480
0	0
0	1
0	4
299	1714
0	31
0	0
0	0
5	18
11	9
0	44
0	38
0	7
0	17
12	17
0	0
0	0
2	0
0	8
0	16
18	16
0	9
0	8
0	7
0	10
12	14
8	0
6	0
12	3
0	0
0	0
0	10
4	10
2594	352
5	41
7	41
0	58
22	65
2	24
69	485
0	192
0	11
0	43
33	10
104	48
29	26
65	20
32	32
2	4
0	14
0	0
1	7
0	0
33	1
2	0
18	1
0	1
0	0
8	2
0	0
0	5
0	5
0	5
0	3
0	5
0	5
0	5
0	3
0	5
1	5
0	3
0	0
0	0
0	0
0	0
13	516
412	1681
73	1393
0	0
0	574
32	1
83	108
15	116
13	9
10	52
26	3
0	1
0	1
0	1
0	0
0	0
0	2
0	0
0	2
35	0
26	162
29	128
29	114
5	59
0	662
0	117
285	662
0	0
0	0
187	2171
5	2178
20	1
0	59
1	48
2	14
3	0
0	8
0	40
29	489
0	15
0	12
0	4
0	12
0	0
0	6
0	3
0	0
3	0
0	83
0	73
0	82
0	82
32	71
2	79
0	79
0	12
0	37
0	13
0	10
0	10
0	4
4	1
0	1
0	2
0	2
0	0
0	0
4	0
0	0
0	0
0	0
79	0
21	4
27	1
0	141
0	141
36	78
0	15
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
214	4575
3	3514
6	4145
124	1743
18	1320
6	825
0	507
1125	0
0	0
0	0
1	0
0	2
1	2
27	0
0	1220
0	1228
30	1228
3	678
7	602
0	540
5	471
15	39
0	359
0	316
0	41
0	60
0	83
4	44
5	57
1	0
0	10
0	3
12	50
37	6
0	0
8	0
0	85
4	69
28	80
0	74
10	4
0	72
0	0
0	10
85	3514
149	2967
60	2433
0	1680
6	10
0	184
22	329
4	10
210	368
6	156
68	76
6	68
0	0
0	0
136	358
2	89
12	9
2	196
6	169
8	389
0	827
0	810
0	647
0	288
0	858
0	133
6	724
0	652
87	502
20	203
13	577
0	813
0	648
0	535
0	577
0	671
0	221
7	99
0	34
0	530
0	138
0	160
0	103
5	33
0	63
5	119
0	1
4	19
0	186
4	67
0	77
0	139
0	100
0	96
0	2
8	0
0	40
0	166
4	134
38	130
0	82
0	31
0	31
3	28
0	2
0	9
3	6
0	11
0	11
0	0
21	1
5	66
227	77
12	12
21	0
14	1524
67	1604
0	1015
3	159
0	164
14	96
1	28
19	44
0	0
0	43
0	75
0	89
0	54
0	81
0	12
0	9
0	25
0	0
0	0
26	1149
206	1097
6	1093
104	1117
6	33
1	39
0	0
72	2202
5	2379
12	1698
17	2680
111	4413
10	2887
0	1841
16	3440
0	3967
4	952
5	1355
0	253
9	186
2	245
42	272
0	816
36	18
0	85
12	2
6	25
9	94
14	488
43	528
0	13
0	11
0	492
23	522
0	142
443	528
4	354
62	384
27	16
28	193
0	25
0	8
147	66
28	688
24	750
0	683
0	194
180	109
8	0
0	0
12	2
3	4
0	2
3	6
0	235
23	1958
415	2193
7	7
64	43
0	0
14	20
9	269
165	255
3	42
10	124
27	69
27	689
0	665
0	647
0	647
0	0
2	79
2	37
7	42
0	42
24	0
539	979
16	897
0	81
1438	20
53	2
0	0
145	0
333	0
5	867
0	953
0	721
0	953
17	846
1	892
0	838
62	101
0	14
16	854
8	40
0	576
12	113
15	7
0	43
0	948
4	457
0	23
0	809
0	629
1	0
4	1
0	722
10	48
6	9
0	17
21	49
11	157
0	161
6	101
0	105
