gene_id,GFP+_ribo_A,GFP+_ribo_B,GFP+_rna_A,GFP-_rna_A,GFP+_rna_B,GFP-_rna_B
ENSG00000000003.14,280,375,553,1225,492,2521
ENSG00000000419.12,475,496,774,531,808,808
ENSG00000000457.13,91,87,576,498,540,508
ENSG00000000460.16,26,12,138,202,152,202
ENSG00000000971.15,36,48,1,112,10,255
ENSG00000001036.13,682,823,2386,2045,2474,2381
ENSG00000001084.10,208,380,2590,1621,3571,2662
ENSG00000001167.14,92,80,1349,1728,1294,1271
ENSG00000001460.17,22,17,357,344,452,485
ENSG00000001461.16,41,41,1453,1268,1282,1206
ENSG00000001497.16,330,321,783,1602,780,764
ENSG00000001561.6,298,255,1828,472,1785,1430
ENSG00000001617.11,19,29,326,967,345,261
ENSG00000001626.14,1766,2887,298,17345,330,28228
ENSG00000001629.9,95,149,2564,1996,2720,2525
ENSG00000001630.15,1312,1900,3933,1722,3893,3032
ENSG00000001631.15,95,114,1082,669,1058,1029
ENSG00000002016.17,31,33,448,448,362,383
ENSG00000002330.13,55,48,676,2033,900,728
ENSG00000002549.12,496,586,942,2504,1126,2158
ENSG00000002586.18,5275,4929,14959,18377,15749,9838
ENSG00000002587.9,5,7,209,229,230,140
ENSG00000002726.20,343,148,528,3276,329,583
ENSG00000002746.14,6,14,123,166,144,95
ENSG00000002822.15,62,106,456,2617,629,550
ENSG00000002834.17,740,788,9400,10891,11715,8710
ENSG00000002919.14,32,41,497,653,577,448
ENSG00000002933.7,1356,1162,4772,7394,3559,2812
ENSG00000003056.7,735,513,4583,3066,4515,3974
ENSG00000003096.14,231,204,592,377,522,445
ENSG00000003137.8,2,0,21,356,21,37
ENSG00000003147.17,114,172,1458,1664,1944,1491
ENSG00000003249.13,19,18,1139,3354,1532,1294
ENSG00000003393.14,220,287,3006,2531,2799,2754
ENSG00000003400.14,37,34,24,651,13,595
ENSG00000003402.19,158,154,2358,4622,1839,3450
ENSG00000003436.15,246,210,734,553,748,1014
ENSG00000003509.15,137,124,771,532,701,607
ENSG00000003756.16,446,323,5451,5832,4358,4127
ENSG00000003987.13,316,282,4743,1782,4177,2431
ENSG00000003989.17,6309,5307,66147,20904,43836,27122
ENSG00000004059.10,645,430,2744,4302,3658,3040
ENSG00000004139.13,77,85,2884,3842,3136,2064
ENSG00000004142.11,161,127,2106,3133,2317,1984
ENSG00000004399.12,15,20,662,2700,679,527
ENSG00000004455.16,420,256,1880,2959,1939,1880
ENSG00000004478.7,723,756,2440,5084,2568,2284
ENSG00000004487.15,576,642,2856,4309,3380,3367
ENSG00000004534.14,261,294,3518,4007,2775,2120
ENSG00000004660.14,3,5,210,272,216,110
ENSG00000004700.15,347,335,725,791,833,855
ENSG00000004766.15,400,455,1730,1221,1706,1430
ENSG00000004777.18,14,17,1128,1298,1438,773
ENSG00000004779.9,502,472,1088,1088,1625,1212
ENSG00000004799.7,762,860,10542,3690,7120,4168
ENSG00000004838.13,3,2,17,126,53,59
ENSG00000004848.7,286,284,5320,6897,4579,2511
ENSG00000004864.13,742,750,2702,2100,2562,2590
ENSG00000004866.20,72,85,957,699,892,886
ENSG00000004897.11,608,516,2580,970,2680,2172
ENSG00000004961.14,194,183,797,551,813,701
ENSG00000004975.11,61,72,1165,1998,1080,1049
ENSG00000005001.9,88,101,395,1819,427,607
ENSG00000005007.12,554,635,4334,8303,5186,4214
ENSG00000005020.12,116,131,477,318,627,492
ENSG00000005022.5,5186,6210,12573,11999,17831,13753
ENSG00000005059.15,4,3,87,71,83,39
ENSG00000005075.15,48,36,417,562,515,424
ENSG00000005100.12,39,46,549,959,600,604
ENSG00000005102.12,7,0,8,300,0,42
ENSG00000005108.15,465,450,4814,4181,3454,2107
ENSG00000005156.11,115,125,1658,2120,1701,1660
ENSG00000005175.9,274,239,923,621,958,902
ENSG00000005187.11,109,109,380,1169,305,1518
ENSG00000005189.19,47,67,320,332,467,209
ENSG00000005194.14,367,335,1187,2200,1533,1371
ENSG00000005206.16,40,76,1380,4142,1582,1302
ENSG00000005238.19,10,5,318,606,365,373
ENSG00000005249.12,13,39,155,207,162,200
ENSG00000005302.17,116,120,972,792,1285,912
ENSG00000005339.14,141,265,4736,6654,4283,3400
ENSG00000005379.15,16,7,553,1540,842,564
ENSG00000005436.13,40,51,664,662,676,594
ENSG00000005448.16,101,178,409,694,809,594
ENSG00000005469.11,149,129,505,656,425,462
ENSG00000005471.15,31,31,82,52,87,34
ENSG00000005483.20,114,169,4218,2129,3688,3295
ENSG00000005486.16,209,227,4361,4599,5396,3535
ENSG00000005513.9,8,0,22,132,66,117
ENSG00000005700.14,273,347,3448,2190,3483,3146
ENSG00000005801.16,188,157,1122,1035,1271,1256
ENSG00000005810.17,367,542,4646,4189,4781,4290
ENSG00000005812.10,82,88,1568,859,1434,1217
ENSG00000005844.17,19,15,93,121,141,72
ENSG00000005882.11,27,37,635,1230,638,587
ENSG00000005884.17,133,215,899,2498,1042,1235
ENSG00000005889.15,411,336,3149,1854,2383,1873
ENSG00000005893.15,1619,1317,6313,2149,6377,5370
ENSG00000005981.12,2,6,67,27,100,82
ENSG00000006007.11,180,185,2504,2380,2429,2525
ENSG00000006015.17,40,60,426,1335,470,435
ENSG00000006025.11,15,8,198,672,222,232
ENSG00000006042.11,268,263,1803,3334,2655,2875
ENSG00000006047.12,156,16,42,347,66,58
ENSG00000006062.14,13,8,196,813,188,353
