gene_id,GFP+_ribo_A,GFP+_ribo_B,GFP+_rna_A,GFP-_rna_A,GFP+_rna_B,GFP-_rna_B
ENSG00000000003.14,0.328085,0.638898,8.04664,10.154677000000001,6.804588,34.354204
ENSG00000000419.12,0.768201,1.159403,23.476556,12.310348,22.35603,26.284215999999997
ENSG00000000457.13,0.06719900000000001,0.082195,4.401052,2.548386,4.032936,4.118933
ENSG00000000460.16,0.019149,0.00643,1.8288829999999998,1.0936109999999999,1.7351239999999999,3.1792219999999993
ENSG00000000971.15,0.012387,0.036459,0.006129,0.519274,0.06776199999999999,2.190431
ENSG00000001036.13,0.431999,0.753613,28.303513,28.158592,26.638101,29.886274
ENSG00000001084.10,0.146924,0.851334,34.481851000000006,31.013152000000005,39.791181,36.708634000000004
ENSG00000001167.14,0.087041,0.109415,11.677505,12.331531,10.828790999999999,12.467625
ENSG00000001460.17,0.034114,0.016491,5.549078,2.287329,4.679774999999999,6.780637
ENSG00000001461.16,0.032044,0.054118,10.116168000000002,7.185499,9.630785999999999,9.947128999999999
ENSG00000001497.16,0.20557899999999998,0.288667,9.34718,11.063502999999999,8.821028,9.271901
ENSG00000001561.6,0.090331,0.111744,9.850424,1.530804,8.607669,8.054093
ENSG00000001617.11,0.007136,0.074378,2.8271990000000002,4.94136,2.7265520000000003,2.809818
ENSG00000001626.14,0.802204,1.309204,2.0834,46.138896,1.26478,140.634928
ENSG00000001629.9,0.055407,0.138386,20.405058,8.014907,23.620775000000002,21.550047000000003
ENSG00000001630.15,1.6643729999999999,3.535266,37.432736000000006,9.771057999999998,34.62828400000001,30.140279000000003
ENSG00000001631.15,0.08223,0.077795,14.137696999999998,10.861137999999999,12.938540000000001,13.694649000000002
ENSG00000002016.17,0.058115999999999994,0.06977,7.4882789999999995,6.414726,6.044784999999999,7.4724390000000005
ENSG00000002330.13,0.18082,0.200144,26.566083000000003,46.604434999999995,30.692718,28.945103
ENSG00000002549.12,0.4103,1.094175,15.514244999999997,23.12475,15.058348,35.655332
ENSG00000002586.18,17.839776,23.909213,387.80607599999996,317.141023,372.44573699999995,273.86018999999993
ENSG00000002587.9,8.8e-4,0.001806,0.633651,1.118126,0.622538,0.441159
ENSG00000002726.20,0.24466500000000002,0.15048699999999998,5.407735,20.039576999999998,2.974698,6.204106
ENSG00000002746.14,0.001627,0.005632,0.722345,0.438348,0.968392,0.8832960000000001
ENSG00000002822.15,0.054619,0.092255,7.704389000000001,19.283995000000004,7.70454,7.5195739999999995
ENSG00000002834.17,1.1914090000000002,2.270932,59.35264300000001,43.998343,66.92936399999999,58.463465
ENSG00000002919.14,0.086349,0.132033,9.681895,5.411129999999999,7.505538,8.537605000000001
ENSG00000002933.7,2.743612,3.360302,118.37363,99.68168900000002,80.067689,73.63052900000001
ENSG00000003056.7,2.943571,2.963993,64.14665100000002,35.297318000000004,48.612628,50.19917499999999
ENSG00000003096.14,0.145646,0.18553499999999998,4.790691,1.9548009999999998,3.6812569999999996,3.51794
ENSG00000003137.8,0.004568,0,0.12218999999999999,1.355834,0.099408,0.495483
ENSG00000003147.17,0.282263,0.7770360000000001,23.304506000000003,19.085645,31.071873999999998,25.259299000000002
ENSG00000003249.13,0.013858,0.018979,15.042310000000002,25.93679,18.052103,18.095281000000004
ENSG00000003393.14,0.185234,0.497265,15.863177,10.013020000000001,12.626032,15.115739000000001
ENSG00000003400.14,0.020541999999999998,0.042574,0.757339,4.190873,0.095209,5.351057
ENSG00000003402.19,0.24614400000000003,0.36132600000000004,14.540099000000003,26.400443999999997,11.068617,33.782636
ENSG00000003436.15,0.513917,0.662405,6.736287999999999,3.190322,8.273514,10.570137
ENSG00000003509.15,0.385686,0.28005,11.937503999999999,5.495466999999999,10.805665999999997,8.02747
ENSG00000003756.16,0.764524,0.626126,72.36043400000001,51.986402000000005,47.37856499999999,50.24335300000001
ENSG00000003987.13,0.20432899999999998,0.26385,45.311604,10.286919,36.759405,27.718466999999997
ENSG00000003989.17,4.455461,5.421121,231.710166,60.637184999999995,141.010614,102.311203
ENSG00000004059.10,1.009167,0.972326,80.19151099999999,75.70013,97.769089,94.382176
ENSG00000004139.13,0.08171400000000001,0.149193,16.838288,14.313812999999998,15.652850999999998,12.128958
ENSG00000004142.11,0.15520399999999998,0.185108,27.172023,24.08743,26.959002,26.960298
ENSG00000004399.12,0.018087,0.065194,7.4471,8.446940000000001,6.200545999999999,4.152950000000001
ENSG00000004455.16,23.976822,11.993861,51.62348899999999,61.193597999999994,51.471286000000006,56.117823
ENSG00000004478.7,0.28314500000000004,0.418697,24.244849000000002,28.339099,22.347590000000004,21.828291
ENSG00000004487.15,0.495251,0.820442,24.608396,22.175446,26.747726,31.959061000000005
ENSG00000004534.14,0.163831,0.178174,38.35736,26.557776,24.761349,23.477108
ENSG00000004660.14,0.001335,0.004365,1.571002,1.183104,1.498018,0.833472
ENSG00000004700.15,0.199354,0.278221,7.287247000000001,6.7498499999999995,7.992395000000001,11.703625
ENSG00000004766.15,0.200366,0.553971,18.843268000000002,5.882968,15.504295999999998,17.010043
ENSG00000004777.18,0.014983,0.028380000000000002,11.496742999999999,17.874042,15.866362,10.200679999999998
ENSG00000004779.9,1.131967,1.892025,61.804463000000005,34.984539,87.087109,75.758649
ENSG00000004799.7,0.8739219999999999,1.483163,111.27531699999999,23.829931000000002,54.627266,37.800908
ENSG00000004838.13,0.006377000000000001,0.006873,0.5939150000000001,2.527267,1.431542,0.917596
ENSG00000004848.7,0.431066,0.604876,58.311778000000004,37.62594,37.456553,41.047094
ENSG00000004864.13,0.925747,1.562331,38.498219000000006,15.46705,32.33852999999999,29.845129000000004
ENSG00000004866.20,0.163605,0.30656500000000003,13.549930999999997,6.845134,10.202778,12.443382
ENSG00000004897.11,1.2902900000000002,1.493617,22.80302,9.798284,20.875115,19.947456999999996
ENSG00000004961.14,0.201154,0.27344999999999997,16.331131,9.101026000000001,16.598508,15.984732000000001
ENSG00000004975.11,0.11102500000000001,0.082108,14.563779999999998,16.646770999999998,12.60191,13.249083999999996
ENSG00000005001.9,0.11366799999999999,0.20179999999999998,9.576969,31.950731,9.142343,16.086159
ENSG00000005007.12,0.49419500000000005,0.937519,25.202377000000002,38.097874000000004,26.595761999999997,24.456322
ENSG00000005020.12,0.151747,0.257714,5.728584000000001,2.190502,5.231339,4.842694
ENSG00000005022.5,8.398009,15.679009,309.50312699999995,200.503532,400.32875299999995,361.016603
ENSG00000005059.15,0.005659,0.011524000000000001,1.097664,0.929148,1.614471,0.864899
ENSG00000005075.15,0.100822,0.101251,15.973655,12.471235,18.014295,17.372758
ENSG00000005100.12,0.029065,0.038336,3.051976,3.8035520000000007,2.752307,3.475467
ENSG00000005102.12,0.010353,0,0.078029,2.353843,0,0.430019
ENSG00000005108.15,0.10872599999999999,0.206474,13.295125,6.902667999999999,8.307811000000001,5.254695
ENSG00000005156.11,0.18034,0.163103,13.846221,13.847221000000001,12.287196,12.358377
ENSG00000005175.9,0.865686,1.149502,14.813799999999997,5.84912,11.741009999999998,12.833287
