"","GFP+_ribo_A","GFP+_ribo_B","GFP+_rna_A","GFP-_rna_A","GFP+_rna_B","GFP-_rna_B"
"ENSG00000000003.14",280,375,553.055,1225.174,492,2520.74
"ENSG00000000005.5",7,0,0,5,0,3
"ENSG00000000419.12",475,496,774,531.456,808.313,807.93
"ENSG00000000457.13",91.346,87,575.999,498.064,540.082,507.922
"ENSG00000000460.16",26,12,138,202.051,151.682,202.021
"ENSG00000000938.12",0,0,1,7,0,1
"ENSG00000000971.15",36,48,1,111.969,9.999,255.012
"ENSG00000001036.13",682,823,2385.978,2045.335,2473.904,2380.999
"ENSG00000001084.10",207.568,379.78,2589.99,1620.86,3571.205,2662.3
"ENSG00000001167.14",92,80,1349.001,1728.276,1294,1271.269
"ENSG00000001460.17",21.996,17,356.81,343.668,451.611,485.031
"ENSG00000001461.16",41,41,1452.691,1267.796,1282.388,1206.452
"ENSG00000001497.16",329.508,321.255,783.001,1602.486,779.991,764
"ENSG00000001561.6",298.012,255.017,1827.502,472.206,1784.949,1430.454
"ENSG00000001617.11",19,29.001,325.999,967.001,345.002,261
"ENSG00000001626.14",1766.466,2887.203,297.999,17345.04,330,28228.391
"ENSG00000001629.9",95.374,148.923,2564.357,1996.235,2720,2524.668
"ENSG00000001630.15",1312.15,1900.319,3933.28,1721.722,3892.994,3032.21
"ENSG00000001631.15",95.147,114,1082.397,668.964,1057.556,1028.718
"ENSG00000002016.17",31,32.999,448.099,448,362.179,382.784
"ENSG00000002079.13",2,0,0,4,0,1
"ENSG00000002330.13",55.001,48,675.522,2033.001,899.968,728
"ENSG00000002549.12",495.655,585.772,942.315,2503.53,1126,2158.086
"ENSG00000002586.18",5274.999,4928.999,14958.812,18377.408,15748.656,9838.065
"ENSG00000002587.9",5.131,7.289,209,229,230,139.666
"ENSG00000002726.20",342.999,148.391,528,3276.165,329,582.562
"ENSG00000002745.12",0,2,0,8,0,1
"ENSG00000002746.14",6,14.366,122.987,165.827,144,95.013
"ENSG00000002822.15",62.342,106.436,456,2616.546,629,550.274
"ENSG00000002834.17",740,788,9400.449,10891.395,11715.151,8709.819
"ENSG00000002919.14",32,41,497.003,653.001,577,448.023
"ENSG00000002933.7",1355.701,1162,4772.181,7393.529,3558.741,2811.839
"ENSG00000003056.7",735.001,513,4582.539,3065.696,4515.031,3973.894
"ENSG00000003096.14",231.258,204.001,592.025,377.202,521.999,445.019
"ENSG00000003137.8",2.019,0,21,356,21,37
"ENSG00000003147.17",114,172,1457.865,1663.757,1943.603,1490.624
"ENSG00000003249.13",19,18,1139.045,3354.142,1531.996,1294
"ENSG00000003393.14",220.071,286.51,3005.528,2530.665,2798.903,2753.624
"ENSG00000003400.14",37,34.39,24.275,650.692,12.746,594.795
"ENSG00000003402.19",158.344,153.608,2357.615,4622.342,1839.161,3450.395
"ENSG00000003436.15",245.982,210.047,734.262,552.92,748.413,1014.304
"ENSG00000003509.15",137,124.22,771.472,532.262,701.02,607.001
"ENSG00000003756.16",446.093,323.227,5451.417,5832.171,4358.41,4127.052
"ENSG00000003987.13",316,282,4743.118,1782.001,4176.666,2430.962
"ENSG00000003989.17",6308.664,5306.999,66146.617,20903.793,43836.418,27121.598
"ENSG00000004059.10",645.291,430.085,2743.515,4302.362,3658.118,3039.582
"ENSG00000004139.13",77.495,85.097,2883.999,3842.253,3135.71,2063.613
"ENSG00000004142.11",161,127,2106.021,3132.969,2317.437,1983.582
"ENSG00000004399.12",15.011,20.016,662.001,2700.463,679,527
"ENSG00000004455.16",419.551,255.926,1879.608,2958.82,1938.798,1880.286
"ENSG00000004468.12",0,1,2.98,3,2.996,5
"ENSG00000004478.7",722.869,756,2439.636,5083.527,2567.775,2283.738
"ENSG00000004487.15",576.02,642,2855.682,4308.823,3380.072,3367.391
"ENSG00000004534.14",261.009,294.202,3517.635,4006.932,2775.247,2119.514
"ENSG00000004660.14",3,5,210.109,272.492,216.495,110.001
"ENSG00000004700.15",347,335,725,791.001,832.58,855.083
"ENSG00000004766.15",400,455,1729.554,1221.149,1705.704,1430.352
"ENSG00000004776.12",0,0,0,1,0,1
"ENSG00000004777.18",14,17.005,1128.105,1297.541,1438,773.001
"ENSG00000004779.9",502,472,1088.472,1087.886,1624.999,1212.449
"ENSG00000004799.7",761.803,860,10541.8,3690.382,7119.625,4167.638
"ENSG00000004809.13",0,2,0,0,3,0
"ENSG00000004838.13",3,2,17,126.001,53,58.999
"ENSG00000004846.16",0,0,11.019,15.02,6,15.035
"ENSG00000004848.7",285.934,284.001,5319.877,6897.037,4578.948,2511.29
"ENSG00000004864.13",741.999,750.022,2702.168,2100.28,2562.217,2590.058
"ENSG00000004866.20",72,85,957.012,698.507,892.379,886.001
"ENSG00000004897.11",608,515.641,2580.383,969.999,2679.884,2171.611
"ENSG00000004939.13",0,3.477,5,6,1,1
"ENSG00000004948.13",4.189,0,21,7,26,6
"ENSG00000004961.14",194,183,796.539,551,812.551,701
"ENSG00000004975.11",60.997,71.992,1165.224,1998.032,1079.999,1048.768
"ENSG00000005001.9",88,100.954,395,1819.146,427,607.001
"ENSG00000005007.12",554.001,634.994,4334.069,8303.172,5186.291,4213.839
"ENSG00000005020.12",116.421,131.021,477.001,317.892,626.999,492.258
"ENSG00000005022.5",5185.596,6209.946,12572.656,11999.155,17831.384,13753.164
"ENSG00000005059.15",4,3,87,71,83,39.001
"ENSG00000005073.5",0,1.003,0,4,0,1
"ENSG00000005075.15",47.844,35.808,417.387,561.736,515.091,424.228
"ENSG00000005100.12",39,46,549,959,600,603.976
"ENSG00000005102.12",7,0,8,300.28,0,42
"ENSG00000005108.15",464.752,449.977,4813.986,4181.357,3454.05,2106.673
"ENSG00000005156.11",114.724,125.065,1657.514,2120.381,1700.89,1659.944
"ENSG00000005175.9",273.992,239,923,621,958.127,902.335
"ENSG00000005187.11",108.929,109,380.231,1168.695,305,1518.141
"ENSG00000005189.19",47,67,320,331.999,466.995,208.999
"ENSG00000005194.14",367.033,334.528,1187.371,2200.459,1533.035,1371.005
"ENSG00000005206.16",39.662,75.692,1379.659,4141.896,1582,1302.167
"ENSG00000005238.19",10.275,5,318,606.004,365,372.612
"ENSG00000005243.9",2,0,1,17,5,3
"ENSG00000005249.12",13,39,154.957,207.037,162,200
"ENSG00000005302.17",116.094,119.565,972.042,791.999,1284.878,912.157
"ENSG00000005339.14",140.649,265.042,4735.796,6653.594,4282.849,3399.506
"ENSG00000005379.15",16.112,7.009,553.001,1540.448,842,564
"ENSG00000005381.7",9,0,0,0,1,0
"ENSG00000005421.8",0,0,1,0,0,1
"ENSG00000005436.13",40,51.004,664.296,662,675.983,594.067
"ENSG00000005448.16",101,178,409.001,694.018,808.998,593.792
"ENSG00000005469.11",148.999,128.999,505.033,656,425.172,462.014
"ENSG00000005471.15",31.192,30.99,82.003,52,87,34
"ENSG00000005483.20",113.673,169.012,4217.717,2128.552,3688.168,3294.839
"ENSG00000005486.16",209,227,4361.194,4599.335,5395.565,3535.37
"ENSG00000005513.9",8.418,0,22,132,66,117
"ENSG00000005700.14",273,347,3447.793,2190.472,3483.321,3145.656
"ENSG00000005801.16",187.865,157.009,1121.598,1035.446,1270.667,1255.841
"ENSG00000005810.17",367.358,542.007,4645.698,4189.108,4780.774,4289.768
"ENSG00000005812.10",82,88,1567.98,859.136,1433.853,1217.001
"ENSG00000005844.17",19,15,93,121.001,141,71.999
"ENSG00000005882.11",27.001,37.001,634.68,1230.323,637.999,587.382
"ENSG00000005884.17",133,215.07,898.998,2497.59,1042.364,1235.251
"ENSG00000005889.15",410.809,335.626,3149.016,1854.31,2382.645,1873.072
"ENSG00000005893.15",1619,1317.003,6312.924,2149.144,6376.649,5370.257
"ENSG00000005961.17",2,5,22,28,16,12
"ENSG00000005981.12",2,6.001,66.999,27.018,100,82
"ENSG00000006007.11",180,185,2503.52,2380.096,2429.332,2525
"ENSG00000006015.17",40,59.998,425.569,1335.158,469.988,435.384
"ENSG00000006016.10",0,0,5,28,21,7
"ENSG00000006025.11",15,8,197.999,672.186,222,231.779
"ENSG00000006042.11",268,263.236,1802.514,3334.465,2655.187,2875.121
"ENSG00000006047.12",155.783,16.203,42,347.424,66,58
"ENSG00000006059.3",0,0,0,3,0,0
"ENSG00000006062.14",13,8,196.002,812.991,188.333,353.036
"ENSG00000006071.12",1935.003,2784.923,15940.56,17823.998,18730.68,10272.924
"ENSG00000006116.3",0,0,0,4,0,8
"ENSG00000006118.14",289.166,386.95,2384.39,9209.341,3584.28,2954.095
"ENSG00000006125.17",2398.12,2502.994,8610.89,7219.174,10421.395,10022.314
"ENSG00000006128.11",82,307,315.999,326,1452.99,1717.715
"ENSG00000006194.9",23,39.001,1362.126,2003.516,1276.695,1144
"ENSG00000006210.6",30.539,42.003,93.884,1400.128,75.038,891.019
"ENSG00000006282.20",60,48,1253,2407.405,1254,1007.404
"ENSG00000006283.17",9.221,11.15,104,121,161.001,74
"ENSG00000006327.13",22,17,40,871.185,26,262
"ENSG00000006377.10",0,0,14,16,6,6
"ENSG00000006432.15",12.003,19.038,2115.634,2446.005,2028.677,1513.795
"ENSG00000006451.7",450,501.843,1644.704,1116.18,1672.018,1569.653
"ENSG00000006453.13",69,60,735,1107.157,552.1,701.001
"ENSG00000006459.10",67,116,2080.013,1042.01,2148.291,1590.565
"ENSG00000006468.13",355.888,403,5216.724,1364.001,5136.131,2876.57
"ENSG00000006530.15",103.001,131,542.001,471,640.637,557.999
"ENSG00000006534.15",3,0,13.005,55,12,44.953
"ENSG00000006555.10",18.004,18.171,381.042,420.106,378,222.006
"ENSG00000006576.16",84,55.922,1765.203,563.845,1512.997,900.848
"ENSG00000006606.8",0,3,0,0,0,0
"ENSG00000006607.13",313.999,301.001,4124.91,3667.414,3305.146,2597.51
"ENSG00000006611.15",578,624,3303.711,3780.222,4405.732,2957.934
"ENSG00000006625.17",104,99,652.102,949.388,709.74,778.378
"ENSG00000006634.7",31,20,226.932,250.588,201.984,237.903
"ENSG00000006638.11",0,0,97.466,57.082,102.862,84.586
"ENSG00000006652.13",41,25,1397.359,1396.232,1079.001,1085.999
"ENSG00000006659.12",4,13,3,15,0,46
"ENSG00000006695.10",58.867,60.702,975.041,914.008,1069.112,820
"ENSG00000006704.10",22.54,35.883,626.001,1595.452,648.001,765.066
"ENSG00000006712.14",513,554,1702.156,3697.009,1805,1511.407
"ENSG00000006715.15",630.001,890.001,4805.096,4052.19,5403.288,4857.347
"ENSG00000006740.16",13.837,22.001,802,990,842,754
"ENSG00000006744.18",341,321.025,1798.764,4058.531,1984.027,1901.731
"ENSG00000006747.14",51.007,62.994,124.266,99.023,157,77
"ENSG00000006756.15",275.911,200.234,1072.001,2113.002,1450.992,1663.679
"ENSG00000006757.11",30,39,337.999,279,416.997,392
"ENSG00000006788.13",2.003,10.773,0,0,4.003,0
"ENSG00000006831.9",56,48,2304.878,1334.073,2278.087,2021.659
"ENSG00000006837.11",0,4,65.832,54.535,71.114,51.849
"ENSG00000007001.12",1,1,0,0,4,8
"ENSG00000007038.10",0,2.805,0,0,0,0
"ENSG00000007047.14",16,44.093,1948.538,2930.572,2152.531,1658.82
