Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	sBC_nORF1 Spectral Count	sBC_nORF2 Spectral Count	sBC_nORF1 Unique Spectral Count	sBC_nORF2 Unique Spectral Count	sBC_nORF1 Total Spectral Count	sBC_nORF2 Total Spectral Count	sBC_nORF1 Intensity	sBC_nORF2 Intensity	sBC_nORF1 Unique Intensity	sBC_nORF2 Unique Intensity	sBC_nORF1 Total Intensity	sBC_nORF2 Total Intensity	Indistinguishable Proteins
ENSG00000000003.14_100636694_100630798_245	ENSG00000000003.14_100636694_100630798_245			245	26.50				1.0000	0.9990	8	26	26	26	14	12	14	12	14	12	2.25568563E9	2.75024922E9	2.25568563E9	2.75024922E9	2.25568563E9	2.75024922E9	
ENSG00000000419.12_50958523_50935132_260	ENSG00000000419.12_50958523_50935132_260			260	63.80				1.0000	0.9990	19	73	73	73	37	36	37	36	37	36	2.57412634E9	6.1818726E9	2.57412634E9	6.1818726E9	2.57412634E9	6.1818726E9	
ENSG00000000457.13_169888840_169853713_688	ENSG00000000457.13_169888840_169853713_688			688	36.90				1.0000	0.9990	21	44	44	44	26	18	26	18	26	18	5.4644928E8	9.2064845E8	5.4644928E8	9.2064845E8	5.4644928E8	9.2064845E8	
ENSG00000000460.16_169800906_169852987_853	ENSG00000000460.16_169800906_169852987_853			853	21.70				1.0000	0.9990	14	27	27	27	15	12	15	12	15	12	3.09225216E8	3.4388704E8	3.09225216E8	3.4388704E8	3.09225216E8	3.4388704E8	
ENSG00000001036.13_143511634_143495707_467	ENSG00000001036.13_143511634_143495707_467			467	46.30				1.0000	0.9990	23	137	137	137	62	75	62	75	62	75	1.45500119E10	2.24249569E10	1.45500119E10	2.24249569E10	1.45500119E10	2.24249569E10	
ENSG00000001084.10_53544645_53498756_637	ENSG00000001084.10_53544645_53498756_637			637	57.60				1.0000	0.9990	39	112	111	112	57	55	57	54	57	55	3.6493783E9	5.616042E9	3.6493783E9	5.616042E9	3.6493783E9	5.616042E9	
ENSG00000001167.14_41079090_41097410_318	ENSG00000001167.14_41079090_41097410_318			318	20.80				1.0000	0.9990	6	15	15	15	8	7	8	7	8	7	5.060736E8	5.14121504E8	5.060736E8	5.14121504E8	5.060736E8	5.14121504E8	
ENSG00000001460.17_24383904_24358543_238	ENSG00000001460.17_24383904_24358543_238			238	49.60				1.0000	0.9990	13	20	20	20	16	4	16	4	16	4	8.4046144E8	2.12116064E8	8.4046144E8	2.12116064E8	8.4046144E8	2.12116064E8	
ENSG00000001461.16_24415815_24419407_68	ENSG00000001461.16_24415815_24419407_68			68	32.40				1.0000	0.9990	3	5	5	5	2	3	2	3	2	3	0.0	1.2470216E8	0.0	1.2470216E8	0.0	1.2470216E8	
ENSG00000001497.16_65534670_65512775_702	ENSG00000001497.16_65534670_65512775_702			702	59.70				1.0000	0.9990	48	121	121	122	67	54	67	54	68	54	2.86899712E9	3.96500634E9	2.86899712E9	3.96500634E9	2.86899712E9	3.96500634E9	
ENSG00000001561.6_46139584_46143640_453	ENSG00000001561.6_46139584_46143640_453			453	34.20				1.0000	0.9990	15	55	55	55	29	26	29	26	29	26	2.12582656E9	2.12136192E9	2.12582656E9	2.12136192E9	2.12582656E9	2.12136192E9	
ENSG00000001617.11_50173885_50188115_686	ENSG00000001617.11_50173885_50188115_686			686	42.60				1.0000	0.9990	24	45	45	45	28	17	28	17	28	17	3.20436704E8	1.268516E8	3.20436704E8	1.268516E8	3.20436704E8	1.268516E8	
ENSG00000001626.14_117480095_117667108_1480	ENSG00000001626.14_117480095_117667108_1480			1480	33.00				1.0000	0.9990	42	80	80	80	39	41	39	41	39	41	9.8536102E8	4.00271904E8	9.8536102E8	4.00271904E8	9.8536102E8	4.00271904E8	
ENSG00000001629.9_92294979_92398949_1089	ENSG00000001629.9_92294979_92398949_1089			1089	38.80				1.0000	0.9990	38	62	62	62	43	19	43	19	43	19	1.11197261E9	2.37619488E8	1.11197261E9	2.37619488E8	1.11197261E9	2.37619488E8	
ENSG00000001630.15_92134346_92113665_503	ENSG00000001630.15_92134346_92113665_503			503	56.50				1.0000	0.9990	25	99	99	99	48	51	48	51	48	51	7.0631235E9	5.4105733E9	7.0631235E9	5.4105733E9	7.0631235E9	5.4105733E9	
ENSG00000001631.15_92242135_92200736_736	ENSG00000001631.15_92242135_92200736_736			736	45.40				1.0000	0.9990	33	63	63	63	39	24	39	24	39	24	7.1225005E8	7.6988294E8	7.1225005E8	7.6988294E8	7.1225005E8	7.6988294E8	
ENSG00000002330.13_64284368_64270209_168	ENSG00000002330.13_64284368_64270209_168			168	84.50				1.0000	0.9990	13	30	30	30	15	15	15	15	15	15	6.4625056E8	1.82448576E9	6.4625056E8	1.82448576E9	6.4625056E8	1.82448576E9	
ENSG00000002549.12_17577559_17607589_488	ENSG00000002549.12_17577559_17607589_488			488	79.30				1.0000	0.9990	44	330	330	330	158	172	158	172	158	172	1.59066378E10	1.57475881E10	1.59066378E10	1.57475881E10	1.59066378E10	1.57475881E10	
ENSG00000002726.20_150856522_150861209_734	ENSG00000002726.20_150856522_150861209_734			734	55.40				1.0000	0.9990	36	60	60	60	37	23	37	23	37	23	2.06305408E9	1.81221696E9	2.06305408E9	1.81221696E9	2.06305408E9	1.81221696E9	
ENSG00000002746.14_43311979_43561926_1525	ENSG00000002746.14_43311979_43561926_1525			1525	23.40				1.0000	0.9990	30	53	53	63	26	27	26	27	33	30	9.4241971E8	9.9808915E8	9.4241971E8	9.9808915E8	1.08039066E9	1.00923251E9	
ENSG00000002822.15_2230109_1816070_710	ENSG00000002822.15_2230109_1816070_710			710	72.40				1.0000	0.9990	57	112	112	112	63	49	63	49	63	49	8.5219226E8	1.68956352E9	8.5219226E8	1.68956352E9	8.5219226E8	1.68956352E9	
ENSG00000002834.17_38870190_38918778_261	ENSG00000002834.17_38870190_38918778_261			261	78.90				1.0000	0.9990	32	251	249	251	113	138	112	137	113	138	1.64955515E10	3.07932426E10	1.64955515E10	3.07932426E10	1.64955515E10	3.07932426E10	
ENSG00000002919.14_48112062_48121508_264	ENSG00000002919.14_48112062_48121508_264			264	47.70				1.0000	0.9990	12	23	22	23	12	11	12	10	12	11	2.9412464E8	1.3200553E9	2.9412464E8	1.3200553E9	2.9412464E8	1.3200553E9	
ENSG00000002933.7_150800933_150804868_252	ENSG00000002933.7_150800933_150804868_252			252	26.20				1.0000	0.9990	7	8	8	8	5	3	5	3	5	3	1.9765256E8	1.69054208E8	1.9765256E8	1.69054208E8	1.9765256E8	1.69054208E8	
ENSG00000003056.7_8946404_8941818_277	ENSG00000003056.7_8946404_8941818_277			277	52.70				1.0000	0.9990	18	101	101	101	58	43	58	43	58	43	2.45672832E9	1.73708206E10	2.45672832E9	1.73708206E10	2.45672832E9	1.73708206E10	
ENSG00000003096.14_118028473_117898908_639	ENSG00000003096.14_118028473_117898908_639			639	49.50				1.0000	0.9990	30	48	25	48	26	22	14	11	26	22	5.16341984E8	5.0336704E8	6.3246714E8	3.13855264E8	5.16341984E8	5.0336704E8	
ENSG00000003147.17_8235926_8113923_483	ENSG00000003147.17_8235926_8113923_483			483	63.40				1.0000	0.9990	33	106	100	106	61	45	59	41	61	45	2.9429673E9	3.73906125E9	3.09141914E9	3.44636058E9	2.9429673E9	3.73906125E9	
