ORF_ID_transcript,ORF_ID_gene
ENST00000449005.5_224_496,ENSG00000228794.8_224_496
ENST00000338591.7_360_2033,ENSG00000187961.13_360_2033
ENST00000379389.4_152_646,ENSG00000187608.8_152_646
ENST00000379370.6_51_6185,ENSG00000188157.14_51_6185
ENST00000620552.4_51_6254,ENSG00000188157.14_51_6254
ENST00000379198.3_138_1001,ENSG00000176022.4_138_1001
ENST00000379031.9_78_986,ENSG00000169972.11_78_986
ENST00000343938.8_412_1053,ENSG00000224051.6_412_1053
ENST00000476993.1_79_1413,ENSG00000179403.11_79_1413
ENST00000308647.7_117_2060,ENSG00000160072.19_117_2060
ENST00000378756.7_119_1876,ENSG00000197785.13_119_1876
ENST00000487053.5_430_2799,ENSG00000197530.12_430_2799
ENST00000378567.7_186_1937,ENSG00000067606.16_186_1937
ENST00000378536.4_157_2256,ENSG00000157933.9_157_2256
ENST00000605895.5_134_721,ENSG00000157916.19_134_721
ENST00000378427.5_89_637,ENSG00000157870.14_89_637
ENST00000270722.9_110_3877,ENSG00000142611.16_110_3877
ENST00000378378.8_514_2532,ENSG00000130762.14_514_2532
ENST00000378344.6_72_887,ENSG00000158109.14_72_887
ENST00000378209.7_324_1337,ENSG00000169598.15_324_1337
ENST00000378097.5_545_1579,ENSG00000069424.14_545_1579
ENST00000377828.5_898_2730,ENSG00000187017.15_898_2730
ENST00000377674.8_159_2222,ENSG00000204859.12_159_2222
ENST00000377648.4_383_1282,ENSG00000116273.5_383_1282
ENST00000307896.10_39_752,ENSG00000041988.15_39_752
ENST00000303635.11_208_5226,ENSG00000171735.18_208_5226
ENST00000054666.10_116_415,ENSG00000049245.12_116_415
ENST00000613533.4_265_3894,ENSG00000049246.14_265_3894
ENST00000493678.5_68_634,ENSG00000116288.12_68_634
ENST00000471889.5_386_2629,ENSG00000162426.14_386_2629
ENST00000377403.6_327_2675,ENSG00000049239.12_327_2675
ENST00000328089.10_468_1160,ENSG00000171621.13_468_1160
ENST00000340305.9_10_1185,ENSG00000188807.12_10_1185
ENST00000340381.10_10_2007,ENSG00000188807.12_10_2007
ENST00000377346.8_622_3327,ENSG00000171608.15_622_3327
ENST00000377205.5_211_981,ENSG00000173614.13_211_981
ENST00000294435.7_104_445,ENSG00000162444.11_104_445
ENST00000253251.12_840_4358,ENSG00000130939.18_840_4358
ENST00000377093.8_154_3612,ENSG00000054523.17_154_3612
ENST00000263934.10_154_5463,ENSG00000054523.17_154_5463
ENST00000620295.2_1_5427,ENSG00000054523.17_1_5427
ENST00000270776.12_39_1487,ENSG00000142657.20_39_1487
ENST00000356607.8_81_1211,ENSG00000142655.12_81_1211
ENST00000240185.7_357_1598,ENSG00000120948.16_357_1598
ENST00000376810.5_327_1340,ENSG00000120942.13_327_1340
ENST00000294484.6_394_4314,ENSG00000204624.7_394_4314
ENST00000251546.8_238_909,ENSG00000132879.13_238_909
ENST00000376770.5_499_1263,ENSG00000132879.13_499_1263
ENST00000376753.8_136_1014,ENSG00000116663.10_136_1014
ENST00000314340.9_55_531,ENSG00000177674.15_55_531
ENST00000346436.10_53_2659,ENSG00000011021.21_53_2659
ENST00000196061.4_28_2208,ENSG00000083444.16_28_2208
ENST00000235329.9_323_2593,ENSG00000116688.16_323_2593
ENST00000235332.5_170_1333,ENSG00000116691.10_170_1333
ENST00000613099.4_131_13219,ENSG00000048707.13_131_13219
ENST00000487188.1_65_1891,ENSG00000048707.13_65_1891
ENST00000376057.8_273_752,ENSG00000162493.16_273_752
ENST00000235372.11_857_6010,ENSG00000116731.22_857_6010
ENST00000503743.5_213_1472,ENSG00000189337.16_213_1472
ENST00000428417.5_450_1205,ENSG00000171729.13_450_1205
ENST00000358897.8_1423_4374,ENSG00000142621.19_1423_4374
ENST00000375847.7_165_2510,ENSG00000116138.12_165_2510
ENST00000480945.5_172_1368,ENSG00000197312.11_172_1368
ENST00000375799.7_228_3284,ENSG00000116786.11_228_3284
ENST00000294454.5_82_993,ENSG00000162461.7_82_993
ENST00000375759.7_205_11196,ENSG00000065526.10_205_11196
ENST00000337132.9_91_879,ENSG00000157191.19_91_879
ENST00000375541.9_1810_6120,ENSG00000058453.16_1810_6120
ENST00000375415.5_44_3763,ENSG00000074964.16_44_3763
ENST00000251296.3_384_1784,ENSG00000117154.11_384_1784
ENST00000400664.2_43_2331,ENSG00000179023.8_43_2331
ENST00000330263.4_298_1014,ENSG00000053372.4_298_1014
ENST00000375153.7_315_470,ENSG00000040487.12_315_470
ENST00000375153.7_641_1513,ENSG00000040487.12_641_1513
ENST00000617872.4_70_255,ENSG00000173436.13_70_255
ENST00000322753.6_57_290,ENSG00000173436.13_57_290
ENST00000467029.5_46_117,ENSG00000173436.13_46_117
ENST00000615215.4_219_830,ENSG00000158747.13_219_830
ENST00000375120.3_2_1195,ENSG00000169914.5_2_1195
ENST00000375099.3_190_924,ENSG00000162543.5_190_924
ENST00000321556.4_95_1837,ENSG00000158828.7_95_1837
ENST00000374840.7_515_1822,ENSG00000162551.13_515_1822
