Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	sBC_nORF-1 Spectral Count	sBC_nORF-2 Spectral Count	sBC_nORF-1 Unique Spectral Count	sBC_nORF-2 Unique Spectral Count	sBC_nORF-1 Total Spectral Count	sBC_nORF-2 Total Spectral Count	sBC_nORF-1 Intensity	sBC_nORF-2 Intensity	sBC_nORF-1 Unique Intensity	sBC_nORF-2 Unique Intensity	sBC_nORF-1 Total Intensity	sBC_nORF-2 Total Intensity	Indistinguishable Proteins
ENSG00000000003.14_113_847	ENSG00000000003.14_113_847			245	26.50				1.0000	0.9990	9	28	28	28	16	12	16	12	16	12	4.5324385E9	2.75397146E9	4.5324385E9	2.75397146E9	4.5324385E9	2.75397146E9	
ENSG00000000419.12_28_807	ENSG00000000419.12_28_807			260	63.80				1.0000	0.9990	19	76	0	76	38	38	0	0	38	38	1.11941286E9	7.369687E9	0.0	0.0	1.11941286E9	7.369687E9	ENSG00000000419.12_33_893
ENSG00000000460.16_348_2906	ENSG00000000460.16_348_2906			853	21.70				1.0000	0.9990	14	25	25	25	14	11	14	11	14	11	3.00900288E8	3.42149248E8	3.00900288E8	3.42149248E8	3.00900288E8	3.42149248E8	
ENSG00000001036.13_57_1457	ENSG00000001036.13_57_1457			467	46.30				1.0000	0.9990	23	137	137	137	62	75	62	75	62	75	1.43500595E10	2.18666516E10	1.43500595E10	2.18666516E10	1.43500595E10	2.18666516E10	
ENSG00000001084.10_485_2395	ENSG00000001084.10_485_2395			637	57.60				1.0000	0.9990	40	117	117	118	59	58	59	58	59	59	3.63421389E9	5.4676209E9	3.63421389E9	5.4676209E9	3.63421389E9	5.4676209E9	
ENSG00000001167.14_164_1117	ENSG00000001167.14_164_1117			318	20.80				1.0000	0.9990	6	14	14	14	8	6	8	6	8	6	5.207152E8	5.14980736E8	5.207152E8	5.14980736E8	5.207152E8	5.14980736E8	
ENSG00000001460.17_290_1003	ENSG00000001460.17_290_1003			238	50.00				1.0000	0.9990	14	22	22	22	17	5	17	5	17	5	7.9960544E8	2.11706672E8	7.9960544E8	2.11706672E8	7.9960544E8	2.11706672E8	
ENSG00000001461.16_22_225	ENSG00000001461.16_22_225			68	52.90				1.0000	0.9990	5	13	13	13	7	6	7	6	7	6	0.0	1.21167344E8	0.0	1.21167344E8	0.0	1.21167344E8	
ENSG00000001561.6_231_1589	ENSG00000001561.6_231_1589			453	34.20				1.0000	0.9990	15	55	55	55	29	26	29	26	29	26	2.11833485E9	2.15886515E9	2.11833485E9	2.15886515E9	2.11833485E9	2.15886515E9	
ENSG00000001617.11_319_2580	ENSG00000001617.11_319_2580			754	41.00				1.0000	0.9990	26	47	47	47	25	22	25	22	25	22	3.19712608E8	1.10104584E8	3.19712608E8	1.10104584E8	3.19712608E8	1.10104584E8	
ENSG00000001626.14_133_4572	ENSG00000001626.14_133_4572			1480	35.70				1.0000	0.9990	49	88	88	88	41	47	41	47	41	47	9.6647693E8	4.02846272E8	9.6647693E8	4.02846272E8	9.6647693E8	4.02846272E8	
